Age,Gender,ImpComercial,ImpSomeonesHouse,ImpWhenCook,Cluster
26,0,5,5,4,1
24,1,3,2,2,2
19,1,3,3,3,2
31,1,5,5,4,4
19,1,5,5,4,4
28,1,5,4,4,0
29,1,5,5,5,4
31,1,5,4,4,0
41,1,5,4,4,3
21,1,5,5,5,4
22,0,5,5,5,1
26,1,5,4,4,0
26,1,5,3,4,0
30,1,4,4,3,0
50,1,4,4,5,3
27,1,5,5,4,4
22,0,5,4,4,1
37,1,4,3,4,2
29,0,5,5,4,1
30,1,5,4,4,0
32,1,4,4,4,0
20,0,4,3,4,1
69,0,5,5,5,3
30,1,5,3,4,0
31,1,4,3,4,2
28,1,5,5,4,4
36,1,5,4,5,4
22,1,5,4,4,0
28,1,5,4,4,0
32,1,4,3,4,2
27,1,5,5,5,4
21,1,5,5,5,4
29,1,4,3,4,2
39,1,5,5,5,4
20,1,4,3,4,2
30,1,5,4,5,4
25,0,3,3,4,2
21,1,5,5,5,4
20,1,5,4,4,0
34,1,5,4,5,4
23,1,5,4,4,0
23,1,5,4,4,0
15,1,5,4,4,0
25,1,4,3,4,2
29,1,5,4,4,0
32,1,5,3,4,0
27,1,5,4,4,0
24,1,5,5,4,4
23,1,5,5,5,4
21,1,5,5,4,4
26,1,4,3,4,2
22,1,4,3,4,2
25,1,5,5,5,4
25,1,5,3,4,0
26,1,3,3,3,2
27,1,5,5,5,4
32,1,5,4,4,0
24,1,5,3,4,0
37,1,4,3,3,2
20,1,5,4,4,0
64,0,5,5,5,1
25,1,5,4,3,0
24,1,5,5,5,4
28,1,5,4,4,0
56,1,3,3,3,2
23,1,5,5,5,4
23,1,5,1,3,2
21,0,5,5,5,1
46,1,5,5,4,3
30,1,5,3,4,0
22,1,5,4,4,0
22,1,5,4,5,4
26,1,5,3,3,0
28,1,5,5,4,4
25,1,5,5,4,4
30,1,5,4,3,0
23,0,5,3,4,1
24,1,5,5,5,4
24,1,5,5,5,4
24,1,5,4,5,4
28,1,5,4,4,0
20,1,5,4,4,0
26,1,5,5,5,4
23,1,5,4,4,0
30,1,5,5,4,4
14,1,5,5,4,4
28,1,5,4,5,4
27,1,4,3,3,2
22,1,5,3,4,0
21,1,5,4,4,0
26,1,4,4,5,4
27,1,5,4,4,0
25,1,5,4,5,4
22,1,4,3,3,2
63,0,5,5,4,1
22,1,5,1,5,0
20,0,5,4,4,1
51,1,5,5,5,3
21,1,5,5,4,4
27,1,4,3,4,2
21,1,5,4,4,0
18,1,5,3,4,0
32,1,5,3,1,0
32,1,5,5,5,4
31,1,4,4,3,0
45,1,5,4,5,3
33,1,5,4,4,0
30,1,5,4,4,0
26,1,5,2,3,0
35,1,5,3,3,0
36,1,5,4,4,0
19,1,4,4,4,0
21,0,5,5,5,1
24,1,5,4,4,0
19,0,5,5,4,1
20,1,5,4,4,0
53,1,5,5,5,3
21,0,5,5,4,1
37,1,5,4,5,4
28,0,5,5,5,1
33,1,5,4,4,0
24,1,4,4,5,4
32,0,5,5,4,1
20,1,4,4,4,0
24,1,4,2,2,2
22,1,5,3,3,0
24,1,2,2,3,2
39,1,5,4,5,3
35,1,5,5,5,4
50,1,4,4,4,3
29,1,4,4,3,0
26,1,5,5,5,4
20,1,5,4,3,0
40,1,4,4,4,3
55,1,5,5,5,3
18,1,4,3,4,2
23,1,3,3,3,2
25,1,5,4,5,4
29,1,5,5,5,4
27,1,5,4,5,4
15,1,5,5,5,4
23,1,5,4,5,4
18,1,5,4,5,4
68,1,4,3,5,3
25,0,5,3,4,1
38,1,5,4,4,3
35,0,5,5,5,1
21,1,4,2,3,2
24,1,5,5,5,4
22,0,5,4,4,1
34,1,5,4,4,0
33,1,5,5,4,4
34,1,5,5,4,4
26,1,5,4,5,4
28,1,5,4,4,0
27,1,5,4,4,0
31,1,4,3,3,2
25,1,4,1,4,2
44,1,5,4,5,3
25,1,5,4,4,0
22,1,5,5,5,4
26,1,5,5,4,4
21,1,5,5,5,4
25,1,5,5,5,4
20,1,5,3,5,0
24,1,5,5,5,4
31,1,4,3,4,2
30,1,5,4,5,4
25,1,4,2,4,2
34,1,3,3,3,2
25,1,5,4,3,0
32,1,5,5,4,4
33,1,5,4,3,0
32,1,5,5,5,4
36,1,5,4,4,0
25,1,5,5,5,4
23,1,4,3,4,2
35,1,3,3,3,2
26,1,5,5,4,4
25,1,5,4,4,0
19,0,4,3,4,1
26,1,4,3,4,2
21,1,4,4,4,0
20,1,4,3,3,2
23,1,4,3,4,2
25,1,3,5,2,2
43,1,5,3,5,3
38,1,5,4,5,3
35,1,5,4,5,4
24,1,5,4,5,4
26,1,5,4,4,0
19,1,5,5,4,4
17,1,5,5,5,4
42,1,5,4,5,3
30,1,5,4,5,4
27,1,5,5,4,4
32,1,5,3,4,0
33,1,5,5,5,4
22,1,5,3,3,0
34,1,5,5,5,4
26,1,5,3,5,0
34,1,5,4,4,0
38,1,5,5,5,4
22,1,5,4,4,0
20,0,4,2,4,1
33,1,5,4,5,4
25,1,5,4,4,0
24,1,5,4,4,0
23,1,5,5,5,4
32,1,5,3,4,0
21,0,5,5,4,1
33,1,5,5,5,4
34,1,5,5,5,4
37,1,5,5,5,4
16,1,5,4,3,0
20,1,5,3,4,0
20,1,5,3,3,0
30,1,5,4,4,0
25,1,5,5,4,4
33,1,5,4,4,0
34,1,5,5,4,4
22,1,5,3,3,0
48,0,5,5,5,1
37,1,4,4,4,3
20,1,5,4,4,0
19,1,5,4,5,4
28,1,4,3,4,2
21,1,5,5,4,4
64,1,5,5,5,3
27,1,5,4,4,0
24,1,5,3,4,0
19,1,3,4,4,2
21,1,4,4,4,0
31,1,4,4,5,4
16,1,5,4,5,4
43,1,5,4,4,3
27,1,4,4,4,0
36,1,4,4,5,3
22,1,3,3,4,2
27,1,5,4,5,4
46,1,5,5,5,3
24,1,5,4,4,0
13,1,5,5,3,0
18,1,5,3,3,0
28,1,5,4,4,0
22,1,5,5,5,4
26,1,5,5,5,4
21,1,4,4,3,0
20,1,5,4,4,0
34,1,5,4,4,0
22,1,5,5,5,4
37,1,5,5,4,4
31,1,5,4,4,0
18,1,5,4,5,4
37,0,5,4,4,1
19,1,5,5,5,4
28,1,5,5,4,4
40,1,5,5,5,4
34,1,5,4,4,0
35,1,5,5,5,4
31,1,4,4,4,0
27,1,5,4,4,0
27,1,5,4,4,0
35,1,5,4,5,4
24,1,5,4,3,0
29,1,5,4,4,0
43,1,5,5,5,3
31,1,5,5,5,4
37,1,5,5,5,4
33,1,5,4,4,0
28,1,4,3,4,2
20,1,5,4,5,4
21,1,5,4,3,0
34,1,5,5,5,4
24,1,5,4,4,0
28,1,5,4,5,4
27,1,5,4,4,0
21,1,5,5,5,4
25,1,4,2,3,2
39,0,5,5,5,1
27,1,5,5,5,4
24,1,5,5,5,4
27,1,5,5,5,4
68,1,4,4,3,3
26,1,4,4,5,4
26,1,5,4,4,0
32,1,5,3,4,0
33,1,5,4,4,0
49,1,5,5,5,3
17,1,5,4,4,0
25,1,5,3,4,0
37,1,5,4,5,4
24,1,5,4,4,0
59,1,5,4,5,3
24,1,5,4,4,0
28,1,5,4,4,0
32,1,4,4,5,4
28,1,5,4,5,4
26,1,5,3,4,0
23,1,5,4,3,0
18,1,5,4,2,0
31,1,4,4,4,0
27,1,4,3,3,2
21,1,5,4,4,0
18,1,5,3,4,0
25,1,5,4,4,0
22,1,5,4,4,0
30,1,5,3,4,0
26,1,5,5,4,4
22,0,5,5,5,1
19,1,5,5,5,4
53,1,5,3,3,3
32,1,5,5,5,4
30,1,4,3,3,2
29,1,4,3,4,2
17,1,5,5,4,4
26,1,4,4,4,0
25,0,5,4,5,1
22,1,5,3,4,0
22,1,4,3,4,2
21,1,4,3,2,2
35,1,5,5,5,4
34,1,4,3,3,2
26,1,5,4,4,0
29,1,4,3,3,2
23,1,5,5,4,4
37,1,5,4,5,4
28,1,5,3,4,0
17,1,5,3,3,0
28,1,4,3,4,2
31,0,5,4,3,1
25,1,4,3,4,2
37,1,5,4,4,0
36,1,4,3,5,3
33,1,4,4,5,4
23,1,4,3,4,2
36,1,5,3,5,3
50,0,5,5,5,1
49,0,5,5,5,1
30,1,5,5,5,4
14,1,3,4,4,2
37,1,5,4,5,4
39,1,5,5,5,4
27,1,5,4,4,0
26,1,5,4,5,4
26,1,5,4,5,4
27,1,5,4,4,0
23,1,5,4,5,4
30,1,5,4,4,0
21,1,5,4,4,0
25,1,5,2,3,0
26,1,5,5,4,4
20,1,5,4,3,0
26,0,5,5,5,1
25,1,5,4,4,0
68,1,4,2,4,3
50,1,5,4,4,3
28,1,4,3,4,2
24,1,4,2,3,2
25,1,5,5,4,4
67,1,5,5,4,3
21,1,5,5,5,4
28,1,4,4,4,0
30,1,5,3,4,0
32,1,5,2,4,0
47,0,5,4,5,1
35,0,4,3,4,1
26,1,5,4,4,0
30,1,5,5,4,4
27,1,5,5,5,4
26,1,5,5,4,4
21,1,5,3,5,0
44,1,5,3,3,0
31,1,4,3,3,2
30,1,5,5,5,4
23,1,5,4,4,0
28,1,5,5,5,4
52,1,4,4,4,3
34,1,5,5,4,4
21,1,5,3,3,0
31,1,5,4,4,0
19,1,4,2,2,2
24,1,5,4,4,0
46,1,5,4,4,3
17,1,5,4,4,0
19,1,5,4,4,0
13,1,4,5,4,4
26,1,4,4,5,4
22,1,5,5,5,4
25,1,5,2,4,0
34,1,5,4,4,0
22,1,5,5,4,4
26,1,5,3,5,0
38,0,5,5,5,1
22,1,4,3,3,2
22,1,5,4,4,0
32,1,5,4,4,0
48,1,4,3,4,3
42,1,5,3,3,0
18,0,5,5,4,1
31,1,5,4,5,4
25,1,5,4,5,4
37,1,5,5,5,4
36,1,5,3,4,0
24,1,5,5,5,4
54,1,5,5,5,3
31,1,5,3,4,0
35,1,4,4,5,4
36,1,3,2,4,2
24,1,5,4,5,4
28,1,5,1,4,0
22,1,5,4,4,0
26,1,4,4,4,0
17,1,5,4,4,0
28,1,4,1,2,2
22,1,5,4,4,0
21,1,5,4,4,0
33,1,5,3,5,0
15,1,5,4,3,0
40,1,5,5,4,3
24,1,5,4,4,0
22,1,5,4,4,0
27,1,4,3,3,2
25,1,5,5,5,4
15,1,4,4,3,0
20,1,2,1,4,2
30,0,5,4,4,1
29,1,5,5,4,4
21,1,5,4,3,0
22,1,5,5,5,4
30,1,4,2,3,2
31,1,5,4,4,0
17,1,5,3,4,0
35,1,5,4,4,0
15,1,5,4,4,0
32,1,5,4,4,0
26,1,5,4,4,0
45,1,4,4,4,3
25,1,5,5,4,4
26,1,5,4,4,0
27,0,5,4,4,1
17,1,2,1,3,2
21,1,4,4,4,0
19,1,5,4,4,0
20,1,4,3,3,2
34,1,4,4,5,4
21,1,5,3,4,0
35,1,5,4,4,0
24,1,5,4,4,0
28,1,2,1,2,2
16,1,5,3,3,0
35,1,5,4,5,4
24,1,5,4,2,0
19,1,3,3,4,2
30,0,5,3,3,1
24,1,5,5,5,4
24,1,5,5,5,4
17,1,5,5,4,4
18,1,5,4,5,4
26,1,5,4,5,4
21,1,5,3,3,0
60,1,5,5,5,3
19,1,5,5,5,4
26,1,5,3,3,0
36,1,5,4,4,0
62,1,5,3,5,3
17,1,4,2,4,2
23,1,5,3,4,0
21,1,5,5,5,4
30,1,5,4,4,0
26,1,4,3,3,2
25,1,5,3,4,0
31,1,5,4,5,4
33,1,3,3,4,2
37,1,5,4,5,4
25,1,5,4,4,0
27,1,4,4,4,0
33,1,5,4,5,4
21,1,5,4,5,4
26,1,5,3,5,0
66,0,5,5,5,1
28,1,5,5,5,4
18,1,5,4,4,0
31,1,4,3,3,2
41,1,5,5,4,3
29,1,5,3,4,0
27,1,5,4,4,0
24,1,5,4,4,0
17,1,5,4,5,4
25,1,5,5,5,4
32,1,5,5,5,4
32,1,4,4,5,4
23,1,5,4,4,0
24,1,4,2,3,2
15,1,1,2,3,2
25,1,5,5,5,4
29,1,4,2,4,2
30,1,5,5,5,4
35,1,5,4,4,0
21,1,5,5,5,4
19,1,5,4,4,0
42,1,5,5,5,3
24,1,5,5,5,4
37,1,5,4,5,4
45,1,5,4,5,3
28,1,5,4,5,4
20,1,5,4,4,0
33,1,4,3,3,2
27,1,5,4,5,4
32,1,5,5,5,4
27,1,5,5,5,4
36,1,5,4,5,4
30,1,3,3,4,2
23,1,5,4,4,0
34,1,4,4,3,0
21,1,5,5,5,4
19,1,5,4,2,0
23,1,5,3,5,0
36,1,5,4,5,4
22,1,5,5,4,4
23,1,5,4,5,4
18,1,5,3,3,0
22,1,5,4,5,4
25,1,5,4,3,0
37,1,4,4,5,3
27,1,5,5,5,4
28,0,5,4,5,1
19,1,4,5,5,4
24,1,5,5,4,4
22,1,5,4,4,0
24,1,5,3,3,0
32,1,4,3,4,2
14,1,4,5,4,4
37,1,5,4,4,0
21,1,5,5,3,0
17,0,5,5,4,1
24,1,5,3,3,0
17,1,4,3,4,2
24,1,5,5,5,4
20,1,5,4,5,4
20,1,5,5,4,4
55,1,5,5,5,3
29,1,5,4,4,0
22,1,4,3,4,2
20,1,3,3,4,2
21,1,5,4,4,0
27,1,5,5,5,4
36,1,3,3,5,2
31,1,5,3,4,0
18,1,5,5,4,4
45,1,5,4,5,3
26,1,4,4,4,0
22,1,5,4,4,0
28,1,5,4,4,0
23,1,5,5,5,4
31,1,5,3,4,0
29,1,4,3,4,2
35,1,5,4,5,4
23,1,5,5,5,4
17,1,4,3,4,2
22,1,5,5,5,4
28,1,4,3,4,2
21,1,5,4,5,4
18,1,5,4,4,0
23,1,5,4,4,0
21,1,5,2,3,0
36,1,5,4,5,4
26,1,5,4,4,0
28,1,5,5,5,4
24,1,5,4,3,0
32,1,5,5,5,4
26,1,5,5,5,4
20,1,5,4,4,0
64,1,5,5,5,3
33,1,5,5,5,4
36,1,4,4,4,0
43,1,5,4,5,3
26,1,5,3,5,0
20,1,4,2,4,2
31,1,5,3,4,0
21,1,3,4,4,2
27,1,5,2,4,0
32,1,5,5,5,4
68,1,4,4,4,3
26,1,5,4,4,0
26,1,5,5,5,4
21,1,4,3,4,2
31,1,4,4,2,2
21,1,5,4,4,0
31,0,5,5,5,1
23,1,5,3,4,0
28,1,5,5,5,4
23,1,5,4,4,0
33,1,5,3,4,0
30,1,5,3,3,0
28,1,5,3,5,0
64,1,5,4,3,3
39,1,5,5,5,4
36,1,5,4,4,0
41,1,5,5,5,3
26,1,5,4,3,0
25,1,4,3,4,2
22,1,5,4,3,0
26,1,5,5,4,4
27,1,5,3,4,0
19,1,5,5,5,4
18,1,5,3,3,0
27,1,5,5,5,4
37,1,5,4,5,4
34,1,5,4,5,4
20,1,5,4,4,0
37,1,4,4,3,0
28,1,5,5,5,4
62,1,5,5,5,3
29,1,5,5,4,4
26,1,5,4,4,0
16,1,5,5,5,4
40,1,5,5,5,4
26,1,4,4,4,0
32,1,5,4,4,0
19,0,5,5,5,1
28,1,5,4,5,4
20,1,3,4,4,2
17,1,5,5,5,4
52,0,5,5,5,1
33,1,5,3,3,0
24,0,5,3,5,1
19,1,5,3,3,0
33,1,5,4,4,0
23,1,5,3,3,0
22,1,5,4,4,0
46,1,5,4,4,3
29,1,5,4,4,0
40,1,5,4,5,3
35,1,5,5,5,4
32,1,5,2,3,0
36,1,5,4,4,0
37,1,5,4,4,0
24,1,5,5,5,4
17,1,5,3,2,0
22,1,4,3,4,2
26,1,4,2,2,2
20,1,5,5,5,4
35,1,5,4,5,4
28,1,4,4,4,0
28,1,5,5,4,4
27,1,5,5,5,4
27,1,5,5,5,4
22,0,5,4,5,1
28,1,5,2,4,0
22,1,5,5,5,4
31,1,5,4,4,0
33,1,5,3,3,0
32,1,5,4,4,0
15,1,5,3,5,0
27,1,5,4,4,0
41,1,5,5,5,3
25,1,5,5,5,4
22,1,5,3,4,0
18,1,4,3,4,2
29,1,5,4,5,4
24,1,4,3,4,2
29,1,4,3,3,2
33,1,4,2,4,2
26,1,4,3,4,2
33,1,4,4,5,4
33,1,5,5,5,4
35,1,5,5,5,4
18,1,5,3,5,0
24,1,5,3,4,0
26,1,5,4,3,0
23,1,1,3,4,2
20,1,4,2,3,2
27,1,5,3,3,0
27,0,5,4,4,1
20,1,5,3,3,0
36,1,5,5,5,4
39,1,2,1,3,2
31,1,4,4,4,0
25,1,5,5,5,4
35,1,5,4,5,4
19,1,5,4,4,0
29,1,5,4,4,0
31,1,5,5,5,4
27,1,3,2,3,2
26,1,5,4,5,4
15,1,5,5,4,4
26,1,4,4,5,4
16,1,5,4,4,0
28,1,5,5,5,4
36,1,4,4,5,3
28,1,5,4,4,0
26,1,5,5,5,4
26,1,5,5,5,4
22,1,5,4,4,0
46,1,5,3,4,3
27,1,5,5,5,4
23,1,5,3,4,0
30,1,5,4,4,0
24,1,5,4,4,0
37,1,5,5,5,4
40,1,5,4,3,0
14,1,4,2,4,2
28,1,5,5,4,4
33,1,5,5,3,0
23,1,5,4,4,0
27,1,5,3,5,0
22,1,5,3,5,0
28,1,5,4,4,0
38,1,5,5,5,4
19,1,5,3,3,0
29,1,4,1,2,2
34,1,5,5,5,4
31,1,5,4,5,4
32,1,5,5,5,4
50,1,4,4,4,3
21,1,4,4,4,0
13,1,5,3,4,0
26,1,5,4,5,4
23,1,5,4,5,4
23,1,5,2,4,0
33,1,5,4,4,0
21,1,5,5,4,4
29,1,5,4,4,0
30,1,5,5,5,4
38,0,5,5,5,1
33,1,4,4,4,0
31,1,5,4,4,0
33,1,5,5,5,4
36,1,3,3,3,2
32,1,5,4,3,0
44,1,5,5,5,3
25,1,5,5,5,4
26,0,5,4,4,1
18,1,5,4,5,4
32,1,5,5,5,4
26,1,5,4,4,0
27,0,5,5,5,1
31,1,5,2,5,0
14,1,5,2,4,0
14,0,5,4,4,1
22,1,5,3,4,0
25,1,5,4,4,0
31,1,5,4,5,4
16,1,4,3,2,2
30,1,4,4,4,0
23,1,4,5,5,4
18,1,5,3,4,0
26,1,5,5,5,4
24,1,5,4,5,4
29,1,5,3,4,0
18,1,2,1,3,2
30,0,4,4,4,1
34,1,4,3,3,2
21,1,5,4,4,0
28,1,4,4,4,0
29,1,5,4,4,0
23,1,4,4,4,0
25,0,4,4,4,1
22,1,5,4,4,0
26,1,5,4,4,0
63,1,5,5,5,3
32,1,5,4,4,0
20,1,5,5,4,4
26,0,5,4,5,1
30,1,5,4,4,0
24,1,5,5,5,4
15,1,5,4,5,4
49,1,5,5,5,3
15,1,4,3,3,2
28,1,5,5,5,4
18,0,5,4,4,1
33,1,5,4,4,0
18,1,5,4,4,0
26,1,5,3,3,0
31,1,4,2,4,2
23,1,4,2,2,2
23,1,5,4,4,0
17,1,5,4,5,4
22,1,5,4,4,0
25,1,5,5,5,4
32,1,5,4,4,0
17,0,2,1,2,2
20,1,5,5,5,4
26,1,5,4,4,0
32,1,5,4,4,0
38,1,4,4,3,0
30,0,5,4,4,1
20,1,5,3,4,0
37,1,5,2,4,0
26,1,5,3,3,0
30,1,3,3,3,2
31,1,5,4,5,4
21,1,5,5,4,4
33,1,5,5,4,4
15,1,5,4,5,4
20,0,5,5,4,1
28,1,5,5,5,4
25,1,4,3,4,2
41,1,5,5,4,3
48,1,5,4,3,3
29,0,5,4,4,1
28,1,5,4,5,4
19,1,5,3,3,0
21,1,4,4,4,0
24,1,4,2,2,2
22,1,5,4,4,0
36,1,5,5,5,4
33,1,5,3,5,0
23,1,5,3,3,0
25,1,5,5,5,4
37,1,5,5,5,4
25,1,5,4,3,0
21,1,5,5,4,4
22,1,5,5,5,4
25,1,5,3,2,0
28,0,5,4,4,1
24,1,4,4,4,0
25,1,5,4,4,0
21,1,5,4,3,0
29,1,4,4,4,0
19,1,5,5,5,4
34,1,5,4,4,0
28,0,5,4,4,1
39,1,5,5,4,3
30,1,5,3,4,0
27,1,5,5,5,4
31,1,5,5,5,4
21,1,5,5,5,4
21,1,5,4,4,0
38,1,5,4,4,3
29,1,3,3,3,2
30,1,4,3,3,2
28,1,4,3,4,2
19,1,5,4,4,0
26,1,3,5,5,4
21,1,4,2,1,2
26,1,5,4,5,4
24,1,5,4,4,0
